"","x"
"1634",0
"1635",0
"1636",-1000
"1637",-1000
"1638",0
"1639",0
"1640",0
"1641",0
"1642",-1000
"1643",0
"1644",0
"1645",-1000
"1646",-1000
"1647",-1000
"1648",0
"1649",-1000
"1650",-1000
"1651",0
"1652",-1000
"1653",0
"1654",0
"1655",0
"1656",-1000
"1657",0
"1658",0
"1659",0
"1660",0
"1661",0
"1662",-1000
"1663",-1000
"1664",-1000
"1665",0
"1666",0
"1667",-1000
"1668",-1000
"1669",-1000
"1670",-1000
"1671",0
"1672",0
"1673",0
"1674",0
"1675",-1000
"1676",-1000
"1677",0
"1678",-1000
"1679",-1000
"1680",-1000
"1681",-1000
"1682",0
"1683",0
"1684",-1000
"1685",0
"1686",0
"1687",0
"1688",0
"1689",-1000
"1690",-1000
"1691",0
"1692",0
"1693",-1000
"1694",-1000
"1695",-1000
"1696",0
"1697",-1000
"1698",0
"1699",0
"1700",-1000
"1701",-1000
"1702",-1000
"1703",0
"1704",0
"1705",0
"1706",0
"1707",0
"1708",0
"1709",0
"1710",0
"1711",0
"1712",0
"1713",0
"1714",-1000
"1715",-1000
"1716",-1000
"1717",0
"1718",-1000
"1719",-1000
"1720",0
"1721",-1000
"1722",-1000
"1723",0
"1724",-1000
"1725",-1000
"1726",0
"1727",0
"1728",0
"1729",0
"1730",-1000
"1731",-1000
"1732",-1000
"1733",-1000
"1734",-1000
"1735",0
"1736",0
"1737",0
"1738",0
"1739",-1000
"1740",0
"1741",-1000
"1742",0
"1743",-1000
"1744",0
"1745",-1000
"1746",0
"1747",0
"1748",0
"1749",0
"1750",0
"1751",-1000
"1752",0
"1753",-1000
"1754",-1000
"1755",-1000
"1756",-1000
"1757",0
"1758",-1000
"1759",0
"1760",-1000
"1761",0
"1762",-1000
"1763",-1000
"1764",-1000
"1765",0
"1766",0
"1767",0
"1768",-1000
"1769",0
"1770",-1000
"1771",-1000
"1772",0
"1773",0
"1774",0
"1775",0
"1776",0
"1777",0
"1778",-1000
"1779",-1000
"1780",0
"1781",-1000
"1782",-1000
"1783",-1000
"1784",0
"1785",0
"1786",-1000
"1787",-1000
"1788",0
"1789",0
"1790",-1000
"1791",0
"1792",-1000
"1793",-1000
"1794",-1000
"1795",-1000
"1796",0
"1797",-1000
"1798",-1000
"1799",0
"1800",-1000
"1801",0
"1802",-1000
"1803",0
"1804",-1000
"1805",-1000
"1806",0
"1807",0
"1808",0
"1809",0
"1810",0
"1811",0
"1812",0
"1813",0
"1814",0
"1815",-1000
"1816",0
"1817",-1000
"1818",-1000
"1819",-1000
"1820",-1000
"1821",-1000
"1822",-1000
"1823",-1000
"1824",0
"1825",0
"1826",-1000
"1827",0
"1828",0
"1829",0
"1830",-1000
"1831",-1000
"1832",0
"1833",-1000
"1834",0
"1835",0
"1836",-1000
"1837",-1000
"1838",0
"1839",0
"1840",0
"1841",0
"1842",0
"1843",-1000
"1844",-1000
"1845",0
"1846",0
"1847",0
"1848",0
"1849",-1000
"1850",-1000
"1851",-1000
"1852",0
"1853",-1000
"1854",-1000
"1855",-1000
"1856",-1000
"1857",-1000
"1858",-1000
"1859",-1000
"1860",0
"1861",0
"1862",-1000
"1863",-1000
"1864",-1000
"1865",-1000
"1866",0
"1867",-1000
"1868",0
"1869",-1000
"1870",-1000
"1871",-1000
"1872",-1000
"1873",-1000
"1874",0
"1875",0
"1876",-1000
"1877",0
"1878",0
"1879",0
"1880",0
"1881",0
"1882",0
"1883",-1000
"1884",0
